title,description
Comprar mantimentos,Comprar itens descritos na lista de compra fixada na geladeira.
Estudar matemática,Resolver exercícios de álgebra e geometria.
Fazer exercícios,Correr por 30 minutos no parque.
Limpar a casa,Varrer e passar pano no chão da sala.
Ler um livro,Ler o livro "Harry Potter e a Pedra Filosofal".
Fazer compras online,Comprar roupas e sapatos na loja virtual.
Assistir um filme,Assistir ao filme "Vingadores: Ultimato".
Cozinhar o jantar,Preparar uma refeição saudável para a família.
Praticar violão,Tocar músicas novas no violão.
Passear com o cachorro,Dar uma volta no quarteirão com o cachorro.
